data,valor
2022-01-01,1.11
2022-02-01,1.28
2022-03-01,2.42
2022-04-01,2.06
2022-05-01,0.48
2022-06-01,0.8
2022-07-01,1.3
2022-08-01,0.24
2022-09-01,-0.51
2022-10-01,0.72
2022-11-01,0.53
2022-12-01,0.66
