data,valor
2023-01-01,0.59
2023-02-01,0.16
2023-03-01,0.05
2023-04-01,0.71
2023-05-01,0.16
2023-06-01,-0.66
2023-07-01,-0.46
2023-08-01,-0.85
2023-09-01,-0.71
2023-10-01,0.31
2023-11-01,0.63
2023-12-01,1.11
