data,ipca_alimentos_mom,ipca_energia_mom
2022-01-01,1.11,-1.07
2022-02-01,1.28,0.15
2022-03-01,2.42,1.08
2022-04-01,2.06,-6.27
2022-05-01,0.48,-7.95
2022-06-01,0.8,-1.07
2022-07-01,1.3,-5.78
2022-08-01,0.24,-1.27
2022-09-01,-0.51,0.78
2022-10-01,0.72,0.3
2022-11-01,0.53,0.56
2022-12-01,0.66,0.2
