data,valor
2021-01-01,1.02
2021-02-01,0.27
2021-03-01,0.13
2021-04-01,0.4
2021-05-01,0.44
2021-06-01,0.43
2021-07-01,0.6
2021-08-01,1.39
2021-09-01,1.02
2021-10-01,1.17
2021-11-01,-0.04
2021-12-01,0.84
