data,valor
2024-01-01,1.38
2024-02-01,0.95
2024-03-01,0.53
2024-04-01,0.7
2024-05-01,0.62
2024-06-01,0.44
2024-07-01,-1.0
2024-08-01,-0.44
2024-09-01,0.5
2024-10-01,1.06
2024-11-01,1.55
2024-12-01,1.18
