Brasília,Campo Grande,Cuiabá,Goiânia,Belo Horizonte,Rio de Janeiro,São Paulo,Vitória,Curitiba,Florianópolis,Porto Alegre,Belém,Boa Vista,Macapá,Manaus,Palmas,Porto Velho,Rio Branco,Aracaju,Fortaleza,João Pessoa,Maceió,Natal,Recife,Salvador,São Luís,Teresina,Macaé
01-2022,661.09,660.11,,624.91,641.83,692.83,713.86,677.54,636.57,695.59,673,563.97,,,,,,,507.82,607.35,538.65,,551.06,543.1,540.01,,,
02-2022,670.98,678.43,,641.09,650.63,697.37,715.65,682.54,652.9,707.56,695.91,574.86,,,,,,,516.82,609.6,549.33,,557.2,549.2,552.3,,,
03-2022,704.65,715.81,,663.48,678.02,750.71,761.19,704.93,701.59,745.47,734.28,585.91,,,,,,,524.99,635.02,567.84,,575.33,561.57,560.39,,,
04-2022,741.55,761.73,,682.87,700.54,768.42,803.99,729.31,739.28,788,780.86,610.31,,,,,,,551.47,647.63,573.7,,595.37,582.74,575.84,,,
05-2022,696.34,706.12,,674.63,659.72,723.55,777.93,698.24,713.68,772.07,768.76,628.58,,,,,,,548.38,628.46,567.67,,586.42,595.89,578.88,,,
06-2022,698.36,702.65,,674.08,656.72,733.14,777.01,692.84,701.26,760.41,754.19,632.26,,,,,,,549.91,657,586.73,,611.79,612.34,580.82,,,
07-2022,703.93,707,,672.91,661.67,723.75,760.45,700.75,688.78,753.73,752.84,633.14,,,,,,,542.5,641.46,572.63,,587.58,616.63,586.54,,,
08-2022,689.31,698.31,,660.83,648.01,717.82,749.78,697.39,685.69,746.21,748.06,634.85,,,,,,,539.57,626.98,568.21,,580.74,598.14,576.93,,,
09-2022,687.21,711.09,,658.7,662.24,714.14,750.74,686.26,678.73,746.55,743.94,622.46,,,,,,,518.68,620.87,562.32,,581.53,580.01,560.31,,,
10-2022,699.09,733.65,,675.79,674.82,736.28,762.2,707.78,696.31,753.82,768.82,615.22,,,,,,,515.51,622.57,559.57,,573.4,558.4,562.59,,,
11-2022,712.2,738.53,,689.49,705.52,749.25,782.68,713.57,709.84,776.14,781.52,624.29,,,,,,,511.97,630.67,552.43,,566.95,551.3,550.67,,,
12-2022,728.78,744.21,,704.63,706.52,752.74,791.29,728.78,698.66,769.19,765.63,639.44,,,,,,,521.05,653.99,561.84,,584.36,565.09,570.7,,,
01-2023,729.73,743.09,,710.62,717.53,770.19,790.57,726.23,695.18,760.65,757.33,654.81,,,,,,,555.28,679.81,600.06,,622.16,608.1,594.83,,,
02-2023,719.74,719.94,,695.18,689.09,745.96,779.38,709.21,678.9,746.95,741.3,662.98,,,,,,,552.97,671.32,600.1,,626.15,606.93,596.88,,,
03-2023,693.32,719.15,,680.92,662.9,735.62,782.23,699.16,679.76,742.23,746.12,664.54,,,,,,,546.14,647.92,579.57,,615.03,578.73,591.4,,,
04-2023,717.09,737.74,,704.94,677.51,750.77,794.68,703.9,694.05,769.35,783.55,660.77,,,,,,,553.89,669.79,585.42,,605.94,582.26,585.99,,,
05-2023,703.43,724.09,,704.89,675.3,749.76,791.82,706.06,703.83,765.13,781.56,669.8,,,,,,,553.76,672.66,580.95,,602.16,587.13,594.32,,,
06-2023,687.33,730.19,,669.39,664.42,741,783.05,691.34,701.22,771.54,773.56,659.89,,,,,,,567.11,661.16,604.89,,632.27,621.14,595.84,,,
07-2023,687.58,698.31,,657.71,662.38,738.12,769.95,674.54,690.31,746.66,777.16,650.42,,,,,,,547.22,661.5,581.31,,613.64,592.71,596.04,,,
08-2023,689.98,691.7,,641.53,657.57,722.78,748.47,660.88,685.13,743.94,760.59,640.11,,,,,,,542.67,642.68,565.07,,581.18,580.72,575.81,,,
09-2023,662.2,675.68,,630.95,645.33,719.92,734.77,681.91,681.23,747.64,741.71,633.53,,,,,,,532.34,640.48,562.6,,598.99,570.2,571.01,,,
10-2023,647.76,682.97,,636.07,637.4,721.17,738.13,675.16,675.01,738.77,739.21,632.92,,,,,,,521.96,648.93,554.88,,582.12,557.1,563.1,,,
11-2023,667.58,674.79,,648.59,650.33,728.27,749.28,675.45,683.44,747.59,739.18,635.18,,,,,,,516.76,639.91,548.33,,567.3,551.04,550.86,,,
12-2023,698.74,697.69,,669.36,667.39,738.61,761.01,688.86,697.22,758.5,766.53,645.44,,,,,,,517.26,630.38,542.3,,556.06,538.08,560.81,,,
01-2024,742.52,736.76,,710.7,736.36,791.77,793.39,719.3,726.23,800.31,791.16,656.78,,,,,,,528.48,618.32,559.77,,575.71,550.51,593.26,,,
02-2024,741.91,748.2,,707.81,741.71,832.8,808.38,731.83,731.5,783.36,796.81,665.12,,,,,,,534.4,627.67,564.5,,579.31,559.68,604.3,,,
03-2024,747.68,730.02,,703.57,724.96,812.25,813.26,729.34,728.06,791.21,777.43,667.53,,,,,,,555.22,663.22,583.23,,605.33,592.19,620.13,,,
04-2024,727.95,732.75,,701.01,724.1,801.15,822.84,726.82,726.64,781.53,775.63,681.45,,,,,,,582.11,714.68,614.75,,632.23,617.28,640.12,,,
05-2024,737.37,748.48,,704.51,701.79,796.67,826.85,723.91,741.46,801.03,801.45,690.98,,,,,,,579.55,709.9,620.67,,640.1,618.47,623.05,,,
06-2024,738.93,748.89,,711.43,710.77,814.38,832.69,718.43,754.91,816.06,804.86,695.58,,,,,,,561.96,697.33,597.32,,599.29,582.9,613.22,,,
07-2024,694.31,736.98,,695.98,666.52,757.64,809.77,688.45,718.32,782.73,769.96,682.39,,,,,,,524.28,677.53,572.38,,575.12,548.43,579.75,,,
08-2024,673.14,714.6,,667.87,667.63,745.64,786.35,684.21,697.08,756.31,740.82,664.92,,,,,,,516.4,630.48,548.9,,555.68,533.12,560.72,,,
